,subject,predicate,object
689,Singapore economy,has differed from,those of Southeast countries
690,Singapore economy,always has differed from,those of Asian countries
691,Singapore economy,always has differed from,those of other Asian countries
692,Singapore economy,has differed from,those of Southeast countries in Singapore 's economy
693,development,has,has closely supervised
694,Economic development,been,has highly dependent
695,development,has,has supervised
696,Economic development,been,has dependent on investment capital
697,development,been,has highly dependent on investment capital from foreign multinational corporations
698,development,been,has dependent
699,Economic development,been,has dependent
700,Economic development,been,has highly dependent on investment capital from foreign corporations
701,development,has,has supervised by Singaporean government
702,Economic development,been,has highly dependent on investment capital
703,Economic development,been,has dependent on investment capital from multinational corporations
704,Economic development,has,has closely supervised by government
705,development,been,has dependent on investment capital from corporations
706,Economic development,has,has closely supervised by Singaporean government
707,Economic development,has,has supervised by Singaporean government
708,Economic development,been,has dependent on investment capital from corporations
709,development,been,has dependent on investment capital from multinational corporations
710,development,been,has highly dependent on investment capital
711,Economic development,been,has dependent on investment capital from foreign multinational corporations
712,Economic development,been,has highly dependent on investment capital from foreign multinational corporations
713,Economic development,has,has supervised by government
714,development,has,has closely supervised by government
715,development,has,has closely supervised by Singaporean government
716,development,been,has highly dependent on investment capital from foreign corporations
717,Economic development,has,has supervised
718,development,been,has highly dependent
719,development,been,has dependent on investment capital
720,development,been,has dependent on investment capital from foreign corporations
721,development,been,has highly dependent on investment capital from multinational corporations
722,Economic development,been,has dependent on investment capital from foreign corporations
723,development,been,has dependent on investment capital from foreign multinational corporations
724,development,been,has highly dependent on investment capital from corporations
725,Economic development,been,has highly dependent on investment capital from multinational corporations
726,Economic development,has,has closely supervised
727,development,has,has supervised by government
728,Economic development,been,has highly dependent on investment capital from corporations
729,Singaporean government,is chief supplier of,surplus capital
730,Singaporean government,holds about,three-fourths of land
731,Singaporean government,is,chief supplier
732,government,is supplier of,capital
733,Singaporean government,is supplier of,capital
734,government,is supplier of,surplus capital
735,government,is,supplier
736,Singaporean government,is supplier of,surplus capital
737,government,is chief supplier of,surplus capital
738,government,is,chief supplier
739,government,is chief supplier of,capital
740,Singaporean government,is chief supplier of,capital
741,Singaporean government,is,supplier
742,government,holds about,three-fourths of land
743,government,enhance,value
744,Singaporean government,has attempted In,addition
745,productivity,value of,labour
746,government,enhance,value of labour
747,Singaporean government,enhance,value
748,government,has attempted In,addition
749,government,enhance,productivity
750,Singaporean government,enhance,value of labour
751,Singaporean government,enhance,productivity
752,Singapore,has,economy
753,extensive government intervention,is in,economic development
754,union structures,have,have replaced
755,union structures,have,have replaced by smaller industry
756,centralized union structures,have,have replaced by industry
757,Union membership,has declined,have replaced by industry
758,Union membership,has declined,have replaced
759,union structures,have,have replaced by industry
760,centralized union structures,have,have replaced by smaller industry
761,Union membership,has declined,have replaced by smaller industry
762,centralized union structures,have,have replaced
763,Greater reliance,has,has placed on local labour-management negotiations
764,Greater reliance,has,has placed on negotiations
765,Greater reliance,has,has placed on labour-management negotiations
766,Greater reliance,has,has placed
767,Greater reliance,has,has placed on local negotiations
768,Singapore,has,natural resources
769,Singapore,has,few natural resources
770,fraction,is,classified
771,production,contributes,amount
772,production,contributes,negligible amount
773,tiny fraction,is,classified
774,tiny fraction,is classified as,agricultural
775,production,contributes amount to,Singapore 's economy
776,fraction,is classified as,agricultural
777,Singapore,to,economy
778,Cultivation,is intensive with,vegetables raised for consumption
779,Cultivation,is,intensive
780,Cultivation,is intensive with,vegetables raised for local consumption
781,Cultivation,is intensive with,vegetables grown
782,Cultivation,is intensive with,vegetables grown raised
783,Cultivation,is intensive with,vegetables
784,Cultivation,is intensive with,vegetables grown raised for consumption
785,Cultivation,is intensive with,vegetables raised
786,vegetables,raised for,local consumption
787,Cultivation,is intensive with,vegetables grown raised for local consumption
788,vegetables,raised for,consumption
789,Singapore,is,major
790,Singapore,is major exporter of,orchids
791,Singapore,is,exporter
792,Singapore,is,major exporter
793,Singapore,is exporter of,orchids
794,Singapore,has pursued policy Since,late 1960s
795,Singapore,has pursued,general policy
796,Singapore,has pursued,general policy of export-oriented industrialization
797,Singapore,has pursued policy Since,1960s
798,Singapore,has pursued,policy of export-oriented industrialization
799,Singapore,has pursued,policy
800,Singapore,has pursued,policy of industrialization
801,Singapore,has pursued,general policy of industrialization
802,Singapore,has,economy
803,chief,was,establishment
804,Singapore 's economy,was,liberalized
805,Singapore 's economy,attract,investment
806,incentives,were provided to,corporations
807,incentives,were provided to,multinational corporations
808,chief,was establishment of,trade zones
809,incentives,were,provided
810,Singapore 's economy,attract,foreign investment
811,chief,was establishment of,free trade zones
812,Singapore,emphasize Singapore advantage in,activities
813,Singapore,emphasize Singapore advantage in,knowledge-intensive activities
814,Singapore,emphasize,Singapore advantage
815,Singapore,has,has able
816,Singapore,emphasize,Singapore comparative advantage
817,productivity,are,encouraged through schemes
